Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent
Brasil,Camarões,2020,0,178,Cameroon,Africa
Brasil,Camarões,2021,0,0,Cameroon,Africa
Brasil,Canadá,2007,4172,18838,Canada,North America
Brasil,Canadá,2008,20949,80476,Canada,North America
Brasil,Canadá,2009,15664,73445,Canada,North America
Brasil,Canadá,2010,0,0,Canada,North America
Brasil,Canadá,2011,28906,128076,Canada,North America
Brasil,Canadá,2012,14304,146035,Canada,North America
Brasil,Canadá,2013,25329,174643,Canada,North America
Brasil,Canadá,2014,35082,226875,Canada,North America
Brasil,Canadá,2015,24547,118394,Canada,North America
Brasil,Canadá,2016,13711,71096,Canada,North America
Brasil,Canadá,2017,6075,30658,Canada,North America
Brasil,Canadá,2018,5308,20414,Canada,North America
Brasil,Canadá,2019,1589,6933,Canada,North America
Brasil,Canadá,2020,1672,8431,Canada,North America
Brasil,Canadá,2021,1172,6157,Canada,North America
Brasil,Catar,2007,0,0,Qatar,Asia
Brasil,Catar,2008,0,0,Qatar,Asia
Brasil,Catar,2009,0,0,Qatar,Asia
Brasil,Catar,2010,0,0,Qatar,Asia
Brasil,Catar,2011,0,0,Qatar,Asia
Brasil,Catar,2012,0,0,Qatar,Asia
Brasil,Catar,2013,0,0,Qatar,Asia
Brasil,Catar,2014,0,0,Qatar,Asia
Brasil,Catar,2015,0,0,Qatar,Asia
Brasil,Catar,2016,0,0,Qatar,Asia
Brasil,Catar,2017,13338,81606,Qatar,Asia
Brasil,Catar,2018,0,0,Qatar,Asia
Brasil,Catar,2019,0,0,Qatar,Asia
Brasil,Catar,2020,0,0,Qatar,Asia
Brasil,Catar,2021,1,2,Qatar,Asia
Brasil,Ilhas Cayman,2007,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2008,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2009,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2010,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2011,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2012,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2013,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2014,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2015,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2016,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2017,0,0,Cayman Islands,North America
Brasil,Ilhas Cayman,2018,19,203,Cayman Islands,North America
Brasil,Ilhas Cayman,2019,19,106,Cayman Islands,North America
Brasil,Ilhas Cayman,2020,123,339,Cayman Islands,North America
Brasil,Ilhas Cayman,2021,104,356,Cayman Islands,North America
Brasil,Chile,2007,60930,67353,Chile,South America
Brasil,Chile,2008,0,0,Chile,South America
Brasil,Chile,2009,1475,4297,Chile,South America
Brasil,Chile,2010,0,0,Chile,South America
Brasil,Chile,2011,0,0,Chile,South America
Brasil,Chile,2012,8550,15438,Chile,South America
Brasil,Chile,2013,0,0,Chile,South America
Brasil,Chile,2014,0,0,Chile,South America
Brasil,Chile,2015,0,0,Chile,South America
Brasil,Chile,2016,0,0,Chile,South America
Brasil,Chile,2017,0,0,Chile,South America
Brasil,Chile,2018,11049,42832,Chile,South America
Brasil,Chile,2019,0,0,Chile,South America
Brasil,Chile,2020,11,13,Chile,South America
Brasil,Chile,2021,26,6,Chile,South America
Brasil,China,2007,7638,30390,China,Asia
Brasil,China,2008,8689,25926,China,Asia
Brasil,China,2009,1553416,482400,China,Asia
Brasil,China,2010,795,2358,China,Asia
Brasil,China,2011,54156,334867,China,Asia
Brasil,China,2012,87905,642177,China,Asia
Brasil,China,2013,40929,279956,China,Asia
Brasil,China,2014,64040,455340,China,Asia
Brasil,China,2015,47609,222866,China,Asia
Brasil,China,2016,134106,499622,China,Asia
Brasil,China,2017,67594,266086,China,Asia
Brasil,China,2018,30835,126336,China,Asia
Brasil,China,2019,129852,376828,China,Asia
Brasil,China,2020,122253,363000,China,Asia
Brasil,China,2021,61884,264116,China,Asia
Brasil,Chipre,2007,0,0,Cyprus,Asia
Brasil,Chipre,2008,0,0,Cyprus,Asia
Brasil,Chipre,2009,0,0,Cyprus,Asia
Brasil,Chipre,2010,0,0,Cyprus,Asia
Brasil,Chipre,2011,0,0,Cyprus,Asia
Brasil,Chipre,2012,0,0,Cyprus,Asia
Brasil,Chipre,2013,0,0,Cyprus,Asia
Brasil,Chipre,2014,0,0,Cyprus,Asia
Brasil,Chipre,2015,0,0,Cyprus,Asia
Brasil,Chipre,2016,0,0,Cyprus,Asia
